Category,Place_Organization,Address,The_Mission,The_Mission_FR,Why_Matters,Why_Matters_FR,Action_Item,Action_Item_FR,Mode_Of_Contact,Website_Link,Latitude,Longitude
Community Action,uOttawa Community Garden,Multiple Edible and Learning Gardens Across uOttawa Campus.,A shared space where students learn to grow food sustainably. It acts as an organic oasis boosting local biodiversity.,Un espace partagé où les étudiants apprennent à cultiver des aliments de manière durable. Il constitue une oasis organique qui favorise la biodiversité locale.,"Bridges the gap between city life and green space, teaching food literacy without leaving campus. ","Comble le fossé entre la vie urbaine et les espaces verts, enseignant l'alphabétisation alimentaire sans quitter le campus.",Join the waitlist for a plot. Help the Office of Campus Sustainability tend the gardens.,Inscrivez-vous sur la liste d'attente pour un plot. Aidez le Bureau de durabilité du campus à entretenir les jardins.,,https://www.uottawa.ca/campus-life/campus-sustainability/activities-initiatives/community-gardens,45.423779,-75.682981
Community Action,Ecology Ottawa,"123 Slater St, Floor 6, Ottawa, ON K1P 5H2 ","A community-based organization providing accessible ways for citizens to advocate for a greener city (transit, water, trees). ","Un organisme communautaire offrant des moyens accessibles aux citoyens de militer pour une ville plus verte (transport en commun, eau, arbres).",A direct link to local environmental politics and advocacy skills.,Un lien direct vers la politique environnementale locale et le développement de compétences en plaidoyer.,Sign a petition or attend a workshop. Reach out to your City Councillor about an issue you care about.,Signez une pétition ou participez à un atelier. Contactez votre conseiller municipal au sujet d'un enjeu qui vous tient à cœur.,,https://www.ecologyottawa.ca/,45.420823,-75.696498
Community Action,Repair Café,Events held at various locations; Tool Library HQ at 877A Boyd Avenue.,"Community hubs where you learn to fix broken items (appliances, clothes) with help from expert volunteers. "," Des carrefours communautaires où vous apprenez à réparer des objets brisés (appareils, vêtements) avec l'aide de bénévoles experts.","Challenges ""throwaway"" culture, saves money, and teaches self-sufficiency. ","Remet en question la culture du « jetable », économise de l'argent et enseigne l'autonomie.",Bring a broken item to the next event. Volunteer your skills as a repair coach.,Apportez un objet cassé au prochain événement. Offrez vos compétences comme coach de réparation.,,https://ottawatoollibrary.com/programs/repair-cafes/,45.375751,-75.750411
Community Action,Jo-Jo's Community Garden,"1573 Stittsville Main St, Stittsville, ON K2S 1P1","A 100% organic, volunteer-run ""Potager"" (kitchen garden) that brings the community together to grow food, herbs, and flowers. ","Un « potager » 100 % biologique et entièrement bénévole qui rassemble la communauté pour cultiver des aliments, des herbes et des fleurs.",It proves that sustainability thrives in the suburbs too. This volunteer hub transforms a simple plot behind a local business into a vibrant center for food security and education.,Il prouve que la durabilité prospère également en banlieue. Ce carrefour bénévole transforme un simple terrain en un centre vivant pour la sécurité alimentaire.,"Visit during the growing season to see the ""Insect Hotel,"" volunteer for a weeding shift, or attend a sunflower planting event. ","Visitez pendant la saison de croissance pour voir l'« Hôtel à insectes », faites du bénévolat ou participez à un événement de plantation de tournesols.",,https://gardensottawa.ca/gardens/jo-jos-community-garden/,45.256776,-75.917369
Eco-Stories,Kichi Sibi,Ottawa River (Near Parliament / Rideau Canal Locks),"Before it was the “Ottawa River,” this waterway was known to the Algonquin Anishinãbeg as the Kichi Sibi (Great River). For millennia, it was the original highway of this land.  ","Avant d'être la « rivière des Outaouais », ce cours d'eau était connu des Algonquins Anishinãbeg sous le nom de Kichi Sibi (la Grande Rivière). Pendant des millénaires, c'était l'autoroute originale de ce territoire.","During the lumber era, the river was choked with sawdust. Today, we must recognize water as a relative that sustains us to help heal the watershed. ","À l'époque de l'industrie forestière, la rivière était étouffée par la sciure. Aujourd'hui, nous devons reconnaître l'eau comme un être qui nous soutient pour aider à guérir le bassin versant.",Visit the shoreline to reflect on the river’s history or support the Ottawa Riverkeeper to help protect it.,Visitez la rive pour réfléchir à l'histoire de la rivière ou soutenez Ottawa Riverkeeper pour aider à la protéger.,,https://ottawariverkeeper.ca/,45.42098,-75.715755
Eco-Stories,The Greenbelt,The Greenbelt (South Ottawa / Mer Bleue Bog),"A 20,000-hectare protected zone created in the 1950s to stop urban sprawl. It acts as a massive sponge, absorbing rainwater to prevent floods. ","Une zone protégée de 20 000 hectares créée dans les années 1950 pour stopper l'étalement urbain. Elle agit comme une éponge massive, absorbant les eaux pluviales pour prévenir les inondations.","It filters air, provides a wildlife corridor, and protects the city from climate extremes. ","Elle filtre l'air, fournit un corridor faunique et protège la ville des extrêmes climatiques.",Visit a Greenbelt trail to witness these ecosystem services in action.,Visitez un sentier de la Ceinture de verdure pour observer ces services écosystémiques en action.,,https://ncc-ccn.gc.ca/places/greenbelt,45.396036,-75.581532
Eco-Stories,Chaudière Falls,Chaudière Bridge (View from Zibi or Victoria Island),"Known as Kana:tso (The Kettle) to the Algonquin people, this site is sacred. For decades it was dammed for industry but is now being slowly reclaimed as a public space and indigenous site. ","Connue sous le nom de Kana:tso (La Bouilloire) par les Algonquins, ce site est sacré. Barragé pendant des décennies pour l'industrie, il est maintenant lentement récupéré comme espace public et site autochtone.","It represents the tension between industrial power and indigenous sacred land. It is the literal ""power source"" of Ottawa’s history (hydro and lumber). ",Il représente la tension entre le pouvoir industriel et les terres sacrées autochtones. C'est la littérale « source d'énergie » de l'histoire d'Ottawa (hydraulique et forestière).,Visit the new viewing platform to see the falls unblocked. Read the panels on Algonquin history.,Visitez la nouvelle plateforme d'observation pour voir les chutes sans obstruction. Lisez les panneaux sur l'histoire algonquine.,,https://chaudierefalls.com/,45.420536,-75.7168
Eco-Stories,Mud Lake Conservation Area,Britannia Area (End of Cassels St.),"An ""Urban Wilderness"" recognized as one of the most important ecological spots in Ottawa. It is a fragile wetland home to turtles, herons, and rare owls right next to a neighbourhood.  ","Une « nature sauvage urbaine » reconnue comme l'un des sites écologiques les plus importants d'Ottawa. C'est une zone humide fragile abritant des tortues, des hérons et de rares hiboux, juste à côté d'un quartier résidentiel.","It is a prime example of ""Urban Biodiversity."" It shows how rich ecosystems can coexist with city living if protected. ",C'est un exemple de « biodiversité urbaine ». Il montre comment des écosystèmes riches peuvent coexister avec la vie urbaine s'ils sont protégés.,Walk the trail quietly (no dogs allowed) to spot a Painted Turtle or Great Blue Heron.,Marchez silencieusement sur le sentier (pas de chiens) pour apercevoir une tortue peinte ou un grand héron bleu.,,https://ncc-ccn.gc.ca/places/mud-lake,45.373995,-75.795017
Eco-Stories,Fletcher Wildlife Garden,Prince of Wales Dr. (Central Experimental Farm),"A long-term project by the Ottawa Field-Naturalists' Club. They transformed an old field into a variety of habitats (woodland, pond, butterfly meadow) to teach people how to garden for wildlife. ","Un projet à long terme du Club des naturalistes d'Ottawa. Ils ont transformé un ancien champ en une variété d'habitats (forêt, étang, prairie à papillons) pour enseigner comment jardiner pour la faune.","It is a ""living textbook"" on how to restore land. It teaches residents that they can support biodiversity in their own backyards. ",C'est un « manuel vivant » sur la restauration des terres. Il enseigne aux résidents qu'ils peuvent soutenir la biodiversité dans leur propre jardin.,"Walk the ""Backyard Garden"" trail to get ideas for your own home. Volunteer for an ""invasive species removal"" day. ",Parcourez le sentier du « Jardin arrière » pour des idées pour votre maison. Participez à une journée d'« élimination des espèces envahissantes ».,,https://ofnc.ca/programs/fletcher-wildlife-garden,45.372356,-75.708405
Indigenous Culture,Odawa Native Friendship Centre,"25 J. L. Maloney Private, Ottawa, ON K1S 5L6 ","This vital, grassroots is a non-profit, Indigenous-governed community hub offering a holistic range of social, health, cultural, and justice programs. It provides culturally safe services and support for the urban Indigenous community. ","Un carrefour communautaire vital, à but non lucratif et gouverné par des Autochtones, offrant une gamme holistique de programmes sociaux, de santé, culturels et de justice. Il fournit des services culturellement sécuritaires à la communauté autochtone urbaine.",It's a central place for people of all ages to access culturally appropriate services. Supporting the centre is a direct action toward reconciliation and strengthening the urban Indigenous community. ,C'est un lieu central où les personnes de tous âges peuvent accéder à des services culturellement appropriés. Soutenir le centre est une action directe vers la réconciliation.,Offer your time or specialized skills to support their community programs. Attend public events like the Traditional Pow Wow to engage in cultural learning.,Offrez votre temps ou vos compétences spécialisées pour soutenir leurs programmes communautaires. Participez à des événements publics comme le Pow Wow traditionnel.,,https://odawa.ca/  ,45.435707,-75.642271
Indigenous Culture,Mãdahòkì Farm,"4420 West Hunt Club Rd., Nepean, ON K2R 1E7 ","Mãdahòkì (meaning ""share the land"") is Canada’s only Indigenous Agri-tourism destination. It hosts seasonal cultural experiences, an Indigenous Marketplace, and is home to the rare Ojibwe Spirit Horses. ","Mãdahòkì (signifiant « partager la terre ») est la seule destination d'agrotourisme autochtone au Canada. Elle accueille des expériences culturelles saisonnières, un marché autochtone et abrite les rares chevaux Spirit Ojibwés.",This site provides a safe space for cultural connection and learning. Visiting supports economic reconciliation while teaching about traditional practices and the deep connection Indigenous communities have with the land. ,Ce site offre un espace sûr pour la connexion et l'apprentissage culturels. La visite soutient la réconciliation économique tout en enseignant les pratiques traditionnelles.,Walk the Legacy Trail and meet the horses. Buy authentic art and foods from the Indigenous Marketplace. ,Parcourez le sentier du patrimoine et rencontrez les chevaux. Achetez de l'art authentique et des aliments au Marché autochtone.,,https://madahoki.ca/ ,45.302426,-75.805007
Indigenous Culture,Pindigen Park,"Southeast corner of Wellington St. and Booth St. (Adjacent to the Canadian War Museum, 1 Vimy Pl) ","Meaning ""Come on in! All are welcome here!"" in Anishnaabe, this park was created with local Algonquin communities. It invites visitors to reflect on the Anishinaabe guiding principle of harmony between land, water, air, and people. ","Signifiant « Entrez ! Tous sont les bienvenus ici ! » en Anishinaabe, ce parc a été créé avec les communautés algonquines locales. Il invite les visiteurs à réfléchir au principe directeur anishinaabe d'harmonie entre la terre, l'eau, l'air et les personnes.","It is a reflective educational space that foregrounds the deep, sustainable connection Indigenous peoples have to the land, a crucial perspective for environmental studies. ","C'est un espace éducatif réflexif qui met au premier plan la connexion profonde et durable des peuples autochtones à la terre, une perspective cruciale pour les études environnementales.",Visit to sit quietly and reflect on the relationship between people and the environment. Use the park as a starting point to learn more about Algonquin traditional territory.,Visitez pour vous asseoir et réfléchir à la relation entre les personnes et l'environnement. Utilisez le parc comme point de départ pour en apprendre davantage sur le territoire traditionnel algonquin.,,https://ncc-ccn.gc.ca/places/pindigen-park,45.418144,-75.715728
Indigenous Culture,Kìwekì Point,Behind the National Gallery of Canada (Access via St. Patrick St or Major's Hill Park),"Newly reopened and renamed ""Kìwekì"" (meaning ""returning to one's homeland"" in Algonquin), this lookout offers the best views of the Parliament and river. It was redesigned with Algonquin partners to feature the ""Pìdàban Passage"" and native plant landscaping. ","Récemment rouvert et renommé « Kìwekì » (signifiant « retour vers son lieu d'origine » en algonquin), ce belvédère offre les meilleures vues sur le Parlement et la rivière. Il a été redessiné avec des partenaires algonquins.","It reclaims a major capital landmark with an Indigenous name and design, physically centering Indigenous presence in the heart of the capital's skyline. ","Il récupère un grand site de la capitale avec un nom et un design autochtones, plaçant physiquement la présence autochtone au cœur de la capitale.","Cross the new Pìdàban Passage and read the interpretive panels about the ""Big River Landscape."" ",Traversez le nouveau Passage Pìdàban et lisez les panneaux interprétatifs sur le « Paysage de la Grande Rivière ».,,https://ncc-ccn.gc.ca/places/kiweki-point,45.429472,-75.701429
Landmark,Parliament Hill,"Wellington St, Ottawa, ON K1A 0A9","The political and cultural heart of Canada, situated above the Ottawa River.","Le cœur politique et culturel du Canada, situé au-dessus de la rivière des Outaouais.","Beyond its stunning architecture, it serves as a central geographic anchor for the city and a reminder of where national environmental policies are shaped.","Au-delà de son architecture époustouflante, il sert d'ancre géographique centrale pour la ville et rappelle où sont façonnées les politiques environnementales nationales.",Enjoy the public green spaces or walk the perimeter path to get an incredible view of the river.,Profitez des espaces verts publics ou promenez-vous sur le sentier périphérique pour une vue incroyable sur la rivière.,,,45.424502,-75.699344
Landmark,Rideau Centre,"50 Rideau St, Ottawa, ON K1N 9J7",Ottawa's premier downtown shopping destination and central transit hub., La principale destination commerciale du centre-ville d'Ottawa et un carrefour de transit central.,"It acts as the downtown connector. With the O-Train and major bus lines meeting here, it is the best starting point for navigating the city sustainably via public transit.","Il agit comme connecteur du centre-ville. Avec le train léger et les principales lignes d'autobus qui s'y rejoignent, c'est le meilleur point de départ pour naviguer dans la ville de manière durable via les transports en commun.",Use this as your zero-emission starting point to explore the downtown core on foot.,Utilisez-le comme point de départ zéro émission pour explorer le centre-ville à pied.,,,45.425387,-75.691442
Landmark,Byward Market,"55 ByWard Market Square, Ottawa, ON K1N 9C3","A historic public market district supporting local farmers, artisans, and independent small businesses.","Un district de marché public historique soutenant les agriculteurs locaux, les artisans et les petites entreprises indépendantes.","Buying local reduces the carbon footprint of your food and goods. It is a vibrant, pedestrian-friendly hub for local food systems and community connection.",Acheter local réduit l'empreinte carbone de vos aliments et de vos biens. C'est un carrefour vivant et piétonnier pour les systèmes alimentaires locaux.,Bring your reusable bags and support a local vendor or farmer!,Apportez vos sacs réutilisables et soutenez un vendeur ou agriculteur local !,,,45.427208,-75.693418
Landmark,Landsdowne Park,"1525 Princess Patricia Way, Ottawa, ON K1S 5J3","A historic urban park blending community events, local farmers' markets, and accessible green space right on the Rideau Canal.","Un parc urbain historique alliant événements communautaires, marchés fermiers locaux et espaces verts accessibles directement sur le canal Rideau.","It mixes urban development with public green space, providing a crucial gathering spot and hosting the year-round Ottawa Farmers' Market.","Il mélange développement urbain et espace vert public, fournissant un lieu de rassemblement crucial et accueillant le Marché des fermiers d'Ottawa toute l'année.",Bike down the canal pathways to grab local produce on a Sunday.,Pédalez le long des sentiers du canal pour acheter des produits locaux le dimanche.,,,45.399696,-75.682143
Landmark,TD Place,"1015 Bank St, Ottawa, ON K1S 3W7","Ottawa's premier stadium and arena for sports, concerts, and large community gatherings.","Le principal stade et aréna d'Ottawa pour les sports, les concerts et les grands rassemblements communautaires.","Sitting inside Lansdowne, it acts as an anchor for the Glebe neighborhood that is easily accessible by public transit and bike paths rather than cars.","Situé dans Lansdowne, il ancre le quartier du Glebe et est facilement accessible par les transports en commun et les pistes cyclables plutôt qu'en voiture.",Plan a sustainable route. Take transit or bike to your next event here!,Planifiez un itinéraire durable. Prenez les transports en commun ou venez à vélo pour votre prochain événement ici !,,,45.398218,-75.683508
Landmark,Canadian Museum of Nature,"240 McLeod St, Ottawa, ON K2P 2R1","A national museum dedicated to inspiring understanding, and passion for the natural world.",Un musée national dédié à inspirer la compréhension et la passion pour le monde naturel.,"Housed in a stunning heritage ""castle,"" it educates the public on issues like climate change, and Canada's unique ecosystems.","Logé dans un magnifique « château » patrimonial, il éduque le public sur des enjeux comme les changements climatiques et les écosystèmes uniques du Canada.",Visit to learn more about the local flora and fauna that make up the Ottawa Valley.,Visitez pour en apprendre davantage sur la flore et la faune locales qui composent la vallée de l'Outaouais.,,,45.412618,-75.688951
Landmark,Dow's Lake Pavilion,"1001 Queen Elizabeth Driveway, Ottawa, ON K1S 5K7","A recreational hub connecting residents directly to the Rideau Canal for paddling, skating, and outdoor activities.","Un carrefour récréatif connectant directement les résidents au canal Rideau pour le canotage, le patinage et les activités de plein air.",It provides direct public access to the water. It is one of the best places in the city to physically interact with Ottawa's waterways and appreciate the local environment.,Il offre un accès public direct à l'eau. C'est l'un des meilleurs endroits de la ville pour interagir physiquement avec les cours d'eau d'Ottawa et apprécier l'environnement local.,Rent a canoe or kayak in the summer (or skates in the winter) to experience the water cycle firsthand.,Louez un canot ou un kayak en été (ou des patins en hiver) pour vivre le cycle de l'eau de première main.,,,45.396330,-75.705756
Nature & Wildlife,Little Ray's Nature Centre,"2781 Colonial Rd., Ottawa, ON K0A 3E0 ",North America's largest exotic animal rescue organization and a leader in conservation education.,La plus grande organisation de sauvetage d'animaux exotiques en Amérique du Nord et un chef de file en éducation à la conservation.,Connects students to wildlife conservation and ethical rescue work.,Connecte les étudiants à la conservation de la faune et au travail de sauvetage éthique.,Book an encounter to contribute to animal care. Sponsor a rescue animal.,Réservez une rencontre pour contribuer aux soins des animaux. Parrainez un animal sauvé.,,https://littlerays.org/,45.439563,-75.350484
Nature & Wildlife,Maple Hill Urban Farm,"200 Moodie Dr., Ottawa, ON K2H 8K6 ","A 167-acre working farm in the Greenbelt focusing on sustainable farming (pasture-grazed animals, native grasses). ","Une ferme de 167 acres dans la Ceinture de verdure axée sur l'agriculture durable (animaux en pâturage, herbes indigènes).",Links urban dwellers to food production. Demonstrates sustainable agriculture coexisting with the city.,Relie les citadins à la production alimentaire. Démontre que l'agriculture durable peut coexister avec la ville.,Book a tour or buy fresh farm products. Inquire about their soil health practices.,Réservez une visite ou achetez des produits frais de la ferme. Renseignez-vous sur leurs pratiques de santé des sols.,,https://maplehillurbanfarm.com/,45.332215,-75.845119
Nature & Wildlife,Remic Rapids Park,Sir John A. Macdonald Parkway (near Tunney's Pasture),"A riverside park famous for its ""Balanced Rock Sculptures"" created by artist John Felice Ceprano. It is also a key habitat for migratory birds. ",Un parc riverain célèbre pour ses « sculptures de roches en équilibre » créées par l'artiste John Felice Ceprano. C'est aussi un habitat clé pour les oiseaux migrateurs.,A perfect blend of Art and Nature. It encourages people to interact with the river landscape creatively and peacefully.,Un parfait mélange d'art et de nature. Il encourage les gens à interagir avec le paysage fluvial de manière créative et paisible.,Try to balance a rock yourself (carefully!). Watch for herons fishing in the rapids.,Essayez d'équilibrer une roche vous-même (avec précaution !). Observez les hérons qui pêchent dans les rapides.,,https://ncc-ccn.gc.ca/places/remic-rapids-park,45.410495,-75.744136
Nature & Wildlife,Dominion Arboretum,Arboretum Rd. (Near Dow's Lake),"Established in 1889, this is Canada's oldest arboretum. It tests which trees can survive Ottawa's climate and preserves rare woody plants. ","Fondé en 1889, c'est le plus ancien arboretum du Canada. Il teste quels arbres peuvent survivre au climat d'Ottawa et préserve de rares plantes ligneuses.",A crucial scientific site for understanding climate adaptation. It provides a massive green lung for the city.,Un site scientifique crucial pour comprendre l'adaptation climatique. Il fournit un immense poumon vert pour la ville.,"Find the ""Bebb's Oak,"" one of the oldest trees in Ottawa. Picnic on the hill for a view of the canal. ","Trouvez le « Chêne de Bebb », l'un des arbres les plus anciens d'Ottawa. Pique-niquez sur la colline pour une vue sur le canal.",,https://gardensottawa.ca/gardens/the-dominion-arboretum-at-the-central-experimental-farmthe-dominion-arboretum-at-the-central-experimental-farm/,45.446859,-75.687698
Nature & Wildlife,Petrie Island,"727 Tweddle Rd., Orléans, ON K4A 3P4","A group of islands formed by sand deposits. It is a major wetland home to a huge population of turtles (Painted, Snapping, and Map turtles). ","Un groupe d'îles formées par des dépôts de sable. C'est une grande zone humide abritant une importante population de tortues (tortues peintes, serpentines et géographiques).",One of the best places to see wildlife recovery in action. The Friends of Petrie Island work hard to protect turtle nests from predators.,L'un des meilleurs endroits pour voir la restauration de la faune en action. Les Amis de l'île Petrie travaillent dur pour protéger les nids de tortues.,"Rent a canoe to explore the inlets. Visit the ""Turtle Pond"" to see basking turtles (from a distance!). ",Louez un canot pour explorer les criques. Visitez l'« étang aux tortues » pour voir des tortues se prélasser (de loin !).,,https://www.petrieisland.org/,45.505572,-75.492738
Nature & Wildlife,Hog's Back Falls,Hog's Back Rd. & Colonel By Dr.,"Where the Rideau Canal meets the Rideau River. These dramatic falls are partly artificial, engineered in the 1820s, but sit on natural fault lines. ","Là où le canal Rideau rencontre la rivière Rideau. Ces chutes dramatiques sont en partie artificielles, construites dans les années 1820, mais reposent sur des failles naturelles.",A physical reminder of the massive engineering effort that shaped Ottawa. It shows the power of water management.,Un rappel physique de l'énorme effort d'ingénierie qui a façonné Ottawa. Il montre la puissance de la gestion de l'eau.,Walk the dam to feel the spray of the water. Look for the geological layers in the canyon walls.,Marchez sur le barrage pour sentir les embruns. Observez les couches géologiques dans les parois du canyon.,,https://ncc-ccn.gc.ca/places/hogs-back-park,45.37127,-75.695427
Nature & Wildlife,Gatineau Park,"33 Scott Rd., Chelsea, QC J9B 1R5 (Visitor Centre). ","A vast conservation area offering hiking, cycling, swimming, and skiing trails. ","Une vaste zone de conservation offrant des sentiers de randonnée, de cyclisme, de baignade et de ski.","The ""lung"" of the region, protecting unique flora and fauna. Essential for physical and mental wellness. ","Le « poumon » de la région, protégeant une flore et une faune uniques. Essentiel pour le bien-être physique et mental.",Purchase a pass to support conservation. Explore trails and read ecology panels.,Achetez un laissez-passer pour soutenir la conservation. Explorez les sentiers et lisez les panneaux d'écologie.,,https://ncc-ccn.gc.ca/places/gatineau-park,45.46237,-75.774429
